userId,displayName,userUrl,joinDate,joinTime,comp_tier,dataset_tier,notebook_tier,discuss_tier,final_tier,comp_currentRanking,dataset_currentRanking,notebook_currentRanking,discuss_currentRanking,comp_points,dataset_points,notebook_points,discuss_points,comp_GoldMedals,comp_SilverMedals,comp_BronzeMedals,dataset_GoldMedals,dataset_SilverMedals,dataset_BronzeMedals,notebook_GoldMedals,notebook_SilverMedals,notebook_BronzeMedals,discuss_GoldMedals,discuss_SilverMedals,discuss_BronzeMedals
708283,bestfitting,/bestfitting,07-09-2016,39:04.8,1,Unranked,Unranked,3,1,1,Unranked,Unranked,189,223240,Unranked,Unranked,352,38,13,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,16,16,132
1424766,Dieter,/christofhenkel,17-11-2017,39:22.3,1,3,1,1,1,2,472,224,30,219301,32,336,1103,29,13,3,0,1,7,18,6,5,121,125,512
478989,Guanshuo Xu,/wowfattie,02-12-2015,40:13.5,1,Unranked,Unranked,3,1,3,Unranked,Unranked,168,179281,Unranked,Unranked,393,24,21,2,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,19,10,111
37166,Psi,/philippsinger,29-03-2012,12:46.3,1,Unranked,3,1,1,4,Unranked,1155,10,174911,Unranked,79,2089,26,7,0,Unranked,Unranked,Unranked,2,3,9,138,205,1055
448347,Qishen Ha,/haqishen,22-10-2015,50:34.2,1,Unranked,2,2,1,5,Unranked,213,61,129846,Unranked,348,845,18,8,2,Unranked,Unranked,Unranked,10,7,1,53,34,230
54836,Giba,/titericz,23-08-2012,26:51.1,1,Unranked,1,1,1,6,Unranked,84,36,125581,Unranked,696,991,60,47,31,Unranked,Unranked,Unranked,17,18,28,106,118,514
75976,CPMP,/cpmpml,16-12-2012,03:05.5,1,3,1,1,1,7,503,189,4,120416,30,391,5156,24,24,4,0,0,5,15,8,15,440,563,4446
2545270,nvnn,/nvnnghia,27-11-2018,24:05.1,1,Unranked,3,3,1,8,Unranked,368,169,111165,Unranked,228,393,12,7,4,Unranked,Unranked,Unranked,4,2,5,13,15,128
2675447,Ilu,/ilu000,05-01-2019,17:10.2,1,Unranked,3,2,1,9,Unranked,1629,99,110992,Unranked,56,591,15,7,3,Unranked,Unranked,Unranked,1,4,7,16,59,492
381412,tascj,/tascj0,10-07-2015,48:36.8,1,Unranked,Unranked,Unranked,1,10,Unranked,Unranked,Unranked,109393,Unranked,Unranked,Unranked,9,8,3,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
